Date,Open,High,Low,Close,Adj Close,Volume
2017-08-15,5509.983887,5662.689453,5003.432617,5346.369629,5346.369629,4165239131
2017-08-16,5369.905273,5524.183594,5094.273438,5517.687500,5517.687500,2864397297
2017-08-17,5527.534180,5668.225586,5369.745605,5501.257324,5501.257324,3242773523
2017-08-18,5491.922363,5518.537598,5065.472168,5248.669434,5248.669434,3711000479
2017-08-19,5219.818359,5352.919922,5008.893555,5290.399902,5290.399902,3754030569
2017-08-20,5284.861816,5293.667480,5134.199219,5158.581543,5158.581543,2662506290
2017-08-21,5162.140137,5186.343750,5027.858398,5042.515137,5042.515137,3529347419
2017-08-22,5038.243652,5220.331055,4632.018066,5183.969727,5183.969727,4758836753
2017-08-23,5169.418457,5389.109375,5167.777344,5248.444824,5248.444824,2995979651
2017-08-24,5230.847168,5543.242676,5230.163086,5489.716309,5489.716309,2580737102
2017-08-25,5487.360352,5614.541504,5451.651855,5510.651855,5510.651855,2178205027
2017-08-26,5511.231445,5520.332520,5381.974121,5486.448730,5486.448730,1905470798
2017-08-27,5477.247070,5567.363770,5442.190918,5520.695313,5520.695313,1936591470
2017-08-28,5522.673340,5551.405762,5323.387207,5530.868652,5530.868652,2472652761
2017-08-29,5539.134277,5819.929688,5478.511719,5755.429688,5755.429688,3124786325
2017-08-30,5744.544922,5789.663574,5620.880371,5775.205078,5775.205078,2451423130
2017-08-31,5762.921875,5963.296387,5751.453613,5924.411133,5924.411133,2449842610
2017-09-01,5922.357910,6140.341309,5898.297852,6140.341309,6140.341309,3262306936
2017-09-02,6152.152344,6244.559082,5609.690430,5747.169434,5747.169434,3416769052
2017-09-03,5755.328125,5917.007813,5544.859863,5756.041016,5756.041016,2428020618
2017-09-04,5766.930176,5764.758301,5169.749512,5335.403320,5335.403320,3762380413
2017-09-05,5325.302246,5533.416504,5010.791016,5467.245117,5467.245117,3370355928
2017-09-06,5467.320313,5770.120117,5466.637207,5740.659668,5740.659668,2712412707
2017-09-07,5730.694336,5796.339355,5621.892578,5710.589355,5710.589355,2290031076
2017-09-08,5717.145020,5757.875000,5057.309570,5247.890137,5247.890137,3351812003
2017-09-09,5249.206055,5347.257324,5105.621582,5244.552246,5244.552246,1720315235
2017-09-10,5248.622070,5268.602539,4903.251465,5122.937500,5122.937500,2086344493
2017-09-11,5122.353516,5296.631836,5097.488281,5187.322266,5187.322266,1941323919
